"Fecha","Fecha banco","Nombre","Tipo","Grupo","Importe","Pagado","No contar","Notas"
"2024-05-06","2024-05-06","Comida","Comida Fuera","Gasto","-38.25","Sí","No",""
"2024-05-04","2024-05-04","Mueble Alex","Muebles y Electrodomésticos","Gasto","-80","Sí","No",""
"2024-04-28","2024-04-28","Pago Ana Boda","Otros Vida Diaria","Gasto","-505.5","Sí","No",""
"2024-04-28","2024-04-28","Pago El corte ingles","Otros Casa","Gasto","-94.5","Sí","No",""
"2024-04-28","2024-04-28","Compartido + derrama - 9 de Cecilia - 10 de compra","Otros Vida Diaria","Gasto","-730.7","Sí","No",""
"2024-04-27","2024-04-27","Nómina Abril","Salario","Ingreso","1664.71","Sí","No",""
"2024-04-26","2024-04-26","Devolución Ana Petronela","Otros Vida Diaria","Devolución","60","Sí","No",""
"2024-04-25","2024-04-25","Regalo día de la madre","Regalos Hechos","Gasto","-18.9","Sí","No",""
"2024-04-25","2024-04-25","Compra compartida adelantada","Otros Vida Diaria","Gasto","-10.3","Sí","No",""
"2024-04-25","2024-04-25","Petronela","Otros Vida Diaria","Gasto","-120","Sí","No",""
"2024-04-24","2024-04-24","Certificado Persona Física","Otros Vida Diaria","Gasto","-3.62","Sí","No",""
"2024-04-24","2024-04-24","Bimbo","Comida Diaria","Gasto","-0.7","Sí","No",""
"2024-04-23","2024-04-23","Carrefour","Comida Diaria","Gasto","-5.58","Sí","No",""
"2024-04-20","2024-04-20","Plex pro","Otros Casa","Gasto","-3.34","Sí","No",""
"2024-04-20","2024-04-20","Alimentación","Comida Diaria","Gasto","-2.6","Sí","No",""
"2024-04-19","2024-04-19","ALDI","Comida Diaria","Gasto","-1.18","Sí","No",""
"2024-04-19","2024-04-19","Alimentación","Comida Diaria","Gasto","-3.75","Sí","No",""
"2024-04-19","2024-04-19","Super","Comida Diaria","Gasto","-2.7","Sí","No",""
"2024-04-17","2024-04-17","Mediamark regletas","Otros Casa","Gasto","-55.13","Sí","No",""
"2024-04-16","2024-04-16","ALDI","Comida Diaria","Gasto","-2.99","Sí","No",""
"2024-04-16","2024-04-16","Bimbo","Comida Diaria","Gasto","-2.3","Sí","No",""
"2024-04-14","2024-04-14","Five Guys","Comida Fuera","Gasto","-52.7","Sí","No",""
"2024-04-13","2024-04-13","Compartido","Otros Vida Diaria","Gasto","-100","Sí","No",""
"2024-04-12","2024-04-12","Mercadona","Comida Diaria","Gasto","-7.08","Sí","No",""
"2024-04-11","2024-04-11","Come fuera","Comida Diaria","Gasto","-5.45","Sí","No",""
"2024-04-11","2024-04-11","Lidl","Comida Diaria","Gasto","-2.37","Sí","No",""
"2024-04-11","2024-04-11","Costco","Comida Diaria","Gasto","-8.99","Sí","No",""
"2024-04-11","2024-04-11","Bolos","Hobbies","Gasto","-12","Sí","No",""
"2024-04-06","2024-04-06","Aliexpress GBA boda","Hobbies","Gasto","-10.98","Sí","No",""
